recordingID	SpeakerID	gross duration	net duration	in/out	languageID	nativeness	sex	filename	recordingID other line	lawaai	ruis	muziek_hoorbaar	achtergrondspreker	auto	galm	beller_welke_emotie	beller_fluistert	beller_stemverheffing	beller_leeftijd	beller_formeel	beller_regionaal_accent	beller_spontaniteit	annotatorID	Transcribed
116	30787	66	16.784	1	4	moedertaal	F	30787_0116.wav	78	nee	zwak	nee	nee	nee	ja	nee	nee	nee	volwassene	nee	nee	dialoog	bbb	FALSE
117	30787	65	22.512	1	4	moedertaal	F	30787_0117.wav	80	nee	zwak	kort	nee	nee	ja	kort	nee	kort	volwassene	nee	nee	dialoog	bbb	FALSE
118	30789	330	202.448	2	4	moedertaal	M	30789_0118.wav	None	nee	nee	nee	nee	nee	ja	nee	nee	nee	volwassene	nee	nee	dialoog	aaa	TRUE
119	30789	553	303.904	2	4	moedertaal	M	30789_0119.wav	None	ja	zwak	nee	nee	ja	nee	nee	nee	nee	volwassene	nee	nee	dialoog	aaa	FALSE
120	30795	119	40.12	2	4	moedertaal	M	30795_0120.wav	None	nee	nee	nee	nee	nee	nee	nee	nee	nee	volwassene	nee	nee	dialoog	aaa	TRUE
121	30795	126	45.368	1	4	moedertaal	M	30795_0121.wav	None	nee	zwak	nee	ja	nee	nee	nee	nee	nee	volwassene	nee	ja	dialoog	aaa	TRUE
122	30812	176	72.728	1	4	moedertaal	M	30812_0122.wav	None	nee	nee	nee	nee	nee	nee	nee	nee	nee	volwassene	nee	ja	dialoog	aaa	TRUE
123	30812	62	29.656	1	4	moedertaal	M	30812_0123.wav	None	nee	nee	nee	nee	nee	nee	nee	nee	nee	volwassene	nee	ja	dialoog	aaa	TRUE
124	30812	124	48.32	2	4	moedertaal	M	30812_0124.wav	None	nee	zwak	nee	nee	ja	nee	nee	nee	nee	volwassene	nee	nee	dialoog	aaa	TRUE
125	30812	95	39.12	2	4	moedertaal	M	30812_0125.wav	None	nee	nee	nee	nee	nee	nee	nee	nee	nee	volwassene	nee	ja	dialoog	aaa	TRUE
126	30812	68	27.4	1	4	moedertaal	M	30812_0126.wav	None	nee	nee	nee	nee	nee	ja	nee	nee	nee	volwassene	nee	ja	dialoog	aaa	TRUE
127	30812	92	51.672	1	4	moedertaal	M	30812_0127.wav	None	ja	matig	nee	nee	ja	nee	nee	nee	nee	volwassene	nee	nee	dialoog	aaa	TRUE
128	30812	188	44.144	2	4	moedertaal	M	30812_0128.wav	None	nee	nee	nee	nee	ja	nee	nee	nee	nee	volwassene	nee	ja	dialoog	aaa	TRUE
129	30812	71	21.624	2	4	moedertaal	M	30812_0129.wav	None	ja	nee	langdurig	ja	nee	nee	nee	nee	nee	volwassene	nee	ja	dialoog	aaa	TRUE
130	30812	72	39.456	1	4	moedertaal	M	30812_0130.wav	None	nee	nee	nee	nee	nee	ja	nee	nee	nee	volwassene	nee	nee	dialoog	aaa	TRUE
131	30812	234	146.976	2	4	moedertaal	M	30812_0131.wav	None	nee	nee	nee	ja	nee	nee	nee	nee	nee	volwassene	nee	nee	dialoog	aaa	TRUE
132	30812	111	28.2	2	4	moedertaal	M	30812_0132.wav	None	ja	nee	nee	ja	nee	nee	nee	nee	nee	volwassene	nee	nee	dialoog	aaa	TRUE
133	30812	79	28.328	1	4	moedertaal	M	30812_0133.wav	None	nee	nee	nee	nee	nee	nee	langdurig	nee	nee	volwassene	nee	nee	dialoog	ccc	TRUE
134	30815	131	78.864	2	4	moedertaal	M	30815_0134.wav	None	ja	nee	nee	nee	nee	nee	nee	nee	nee	volwassene	nee	nee	dialoog	aaa	TRUE
135	30815	168	92.408	2	4	moedertaal	M	30815_0135.wav	8	nee	zwak	nee	ja	nee	nee	nee	nee	nee	volwassene	nee	nee	dialoog	aaa	TRUE
136	30815	189	127.424	1	4	moedertaal	M	30815_0136.wav	14	ja	nee	nee	nee	nee	nee	nee	nee	nee	volwassene	nee	nee	dialoog	aaa	TRUE
137	30815	117	64.128	2	4	moedertaal	M	30815_0137.wav	None	nee	zwak	nee	nee	ja	nee	nee	nee	nee	volwassene	nee	nee	dialoog	aaa	TRUE
138	30815	62	32.976	1	4	moedertaal	M	30815_0138.wav	None	ja	zwak	nee	ja	nee	nee	nee	nee	nee	volwassene	nee	nee	dialoog	aaa	TRUE
139	30815	417	157.56	2	4	moedertaal	M	30815_0139.wav	None	nee	nee	nee	ja	nee	nee	nee	nee	nee	volwassene	nee	ja	dialoog	aaa	TRUE
140	30815	180	116.672	2	4	moedertaal	M	30815_0140.wav	None	nee	nee	nee	ja	nee	nee	nee	nee	kort	volwassene	nee	ja	dialoog	aaa	TRUE
141	30815	91	41.432	1	4	moedertaal	M	30815_0141.wav	None	ja	zwak	kort	nee	ja	nee	nee	nee	nee	volwassene	nee	ja	dialoog	aaa	TRUE
142	30815	66	26.336	3	4	moedertaal	M	30815_0142.wav	None	ja	nee	nee	nee	nee	nee	nee	nee	nee	volwassene	nee	nee	dialoog	aaa	TRUE
143	30815	95	46.68	2	4	moedertaal	M	30815_0143.wav	None	ja	zwak	nee	nee	nee	nee	nee	nee	nee	volwassene	nee	ja	dialoog	aaa	TRUE
144	30815	152	80.264	1	4	moedertaal	M	30815_0144.wav	None	ja	zwak	nee	ja	nee	nee	nee	nee	nee	volwassene	nee	nee	dialoog	aaa	TRUE
145	30815	133	69.776	2	4	moedertaal	M	30815_0145.wav	None	ja	zwak	nee	nee	nee	nee	nee	nee	nee	volwassene	nee	ja	dialoog	aaa	TRUE
146	30816	87	19.08	2	4	moedertaal	M	30816_0146.wav	1003	nee	matig	nee	nee	nee	nee	nee	nee	nee	volwassene	nee	nee	dialoog	aaa	TRUE
147	30816	102	41.04	1	4	moedertaal	M	30816_0147.wav	None	nee	zwak	nee	ja	nee	nee	nee	nee	nee	volwassene	nee	nee	dialoog	aaa	TRUE
148	30816	75	28.208	2	4	moedertaal	M	30816_0148.wav	None	nee	nee	nee	nee	nee	nee	nee	nee	nee	volwassene	nee	nee	dialoog	aaa	TRUE
149	30816	150	73.28	2	4	moedertaal	M	30816_0149.wav	None	nee	zwak	nee	ja	nee	ja	nee	nee	nee	volwassene	nee	nee	dialoog	aaa	TRUE
150	30816	82	22.488	2	4	moedertaal	M	30816_0150.wav	None	nee	zwak	nee	nee	nee	nee	nee	nee	nee	volwassene	nee	nee	dialoog	aaa	TRUE
151	30816	76	33.672	1	4	moedertaal	M	30816_0151.wav	None	nee	zwak	nee	nee	nee	nee	nee	nee	nee	volwassene	nee	nee	dialoog	aaa	TRUE
152	30816	101	36.84	1	4	moedertaal	M	30816_0152.wav	None	ja	zwak	nee	ja	ja	nee	nee	nee	nee	volwassene	nee	nee	dialoog	aaa	TRUE
153	30816	92	27.744	2	4	moedertaal	M	30816_0153.wav	None	nee	zwak	nee	ja	nee	ja	nee	nee	nee	volwassene	nee	nee	dialoog	aaa	TRUE
154	30816	64	28.76	2	4	moedertaal	M	30816_0154.wav	None	ja	zwak	nee	ja	nee	nee	nee	nee	nee	volwassene	nee	nee	dialoog	aaa	TRUE
155	30816	104	31.952	2	4	moedertaal	M	30816_0155.wav	None	nee	zwak	nee	ja	nee	nee	nee	nee	nee	volwassene	nee	nee	dialoog	aaa	TRUE
156	30816	83	32.04	2	4	moedertaal	M	30816_0156.wav	None	ja	zwak	nee	nee	nee	nee	nee	nee	nee	volwassene	nee	nee	dialoog	aaa	TRUE
157	30816	129	42.312	1	4	moedertaal	M	30816_0157.wav	None	ja	matig	langdurig	nee	nee	nee	nee	nee	nee	volwassene	nee	nee	dialoog	aaa	TRUE
